Model,MAE,RMSE,R2,MAPE,CV_MAE
Huber Regressor,2.814989705966867,4.135518816117098,0.9999489149859707,0.19103108191573917,6.395444537022547
Linear Regression,3.0697476308774507,4.4469864651075035,0.9999409302503904,0.20887797570708388,42.79468375530854
Bayesian Ridge,3.1485746904919596,4.484010765802105,0.9999399425611247,0.21247132037002983,5.298034882035132
Lasso Regression,3.280373461639409,4.5482659914596795,0.9999382089998213,0.22069893364835821,3.3802269595713703
Stacking Ensemble,6.676158662609534,8.47957435742197,0.9997852260421393,0.43409353905595915,
Ridge Regression,6.779496187072738,8.504117628907759,0.9997839809598057,0.43861278282504734,8.883978875934218
ElasticNet,7.103477759011138,9.095346805598462,0.9997529004005506,0.4532969230678118,9.639704725757033
Naive (Last Value),7.455696202531645,11.243563559609886,0.9996223917508253,0.49669066787774685,
Gradient Boosting,11.869985595540705,16.575938784547606,0.9991792898905074,0.7252619343103537,72.86482591653359
Voting Ensemble,12.68103012647466,17.45733339871036,0.9990896899721153,0.7283811099279841,
Extra Trees,13.164011458826531,17.556040383478326,0.9990793667478944,0.7719920976482392,100.48209078352981
Moving Average (7d),13.265822784810112,17.40751106528405,0.9990948785138051,0.8413474896864196,
LightGBM,14.335279702685488,19.47616439256532,0.9988669726901985,0.8540135687233888,119.7452884338207
EMA (14d),15.409656246810531,19.604463070063986,0.9988519959525457,0.9533282916731882,
Random Forest,19.07063129961642,25.40748371093591,0.9980717789204329,1.142539930124728,97.36401807700662
Moving Average (30d),23.29322712951523,28.529676287649842,0.9975687635255558,1.4525081163944662,
XGBoost,47.92186737060547,136.61085385365615,0.9442552328109741,2.3119039833545685,49.94187850952149
KNN Regressor,49.83632099598467,64.27288759155513,0.9876607393410052,3.280539605687304,100.91833430983309
SVR,51.249804781297215,85.1615863481186,0.9783368802708329,2.614844168028823,
Prophet,102.85139160561296,104.42346921746783,-15.350941071426696,4.355332081997481,
LSTM,1698.01025390625,1793.4613879311703,-8.652066230773926,97.97021746635437,
